Name;Type;Tier;Attack;Health;Text;Attack Golden;Health Golden;Text Golden;Buddy Of;Blizzard ID;Picture Link;Active;Duos only
Coilfang Elite;Naga;1;3;2;After a Spellcraft minion appears in Bob's Tavern, get a copy of its spell.;6;4;After a Spellcraft minion appears in Bob's Tavern, get 2 copies of its spell.;Lady Vashj;BG23_HERO_304_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_HERO_304_Buddy.png;;
Enhance-o Medico;Mech;1;2;2;Minions in Bob's Tavern with Taunt, Reborn, Windfury, or Divine Shield have +2/+2 for each.;4;4;Minions in Bob's Tavern with Taunt, Reborn, Windfury, or Divine Shield have +4/+4 for each.;Enhance-o Mechano;BG24_HERO_204_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_HERO_204_Buddy.png;;
Flight Trainer;;1;2;2;Your flightpaths trigger twice.;4;4;Your flightpaths trigger three times.;Galewing;BG20_HERO_283_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_HERO_283_Buddy.png;;
Lei Flamepaw;;1;2;4;'Power of the Storm' offers 3 options instead of 2.;4;8;'Power of the Storm' offers 4 options instead of 2.;Master Nguyen;BG20_HERO_202_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_HERO_202_Buddy.png;;
Mawsworn Soulkeeper;Undead;1;2;2;Deathrattle: Summon 3 random Tier 1 minions.;4;4;Deathrattle: Summon 6 random Tier 1 minions.;The Jailer;TB_BaconShop_HERO_702_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_702_Buddy.png;;
Pigeon Lord;;1;3;4;Your Refreshes cost (0) while Bob's Tavern doesn't have the minion type of your Hero Power.;6;8;Your Refreshes cost (0) while Bob's Tavern doesn't have the minion type of your Hero Power.;The Rat King;TB_BaconShop_HERO_12_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_12_Buddy.png;;
SI:7 Scout;;1;2;2;After you buy a minion, gain +1/+1.;4;4;After you buy a minion, gain +2/+2.;Edwin VanCleef;TB_BaconShop_HERO_01_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_01_Buddy.png;;
Apostle of Galakrond;;2;2;4;Battlecry: Replace minions in Bob's Tavern with ones of a higher Tavern Tier.;4;8;Battlecry: Replace minions in Bob's Tavern with ones of a higher Tavern Tier twice.;Galakrond;TB_BaconShop_HERO_02_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_02_Buddy.png;;
Asher the Haberdasher;;2;2;2;After you sell a minion, gain a +1/+1 hat that passes to a friendly minion when sold.;4;4;After you sell a minion, gain two +1/+1 hats that passes to a friendly minion when sold.;Dancin' Deryl;TB_BaconShop_HERO_36_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/TB_BaconShop_HERO_36_Buddy.png;;
Baby Elekk;Beast;2;2;2;After you play a minion with Attack equal to its Health, gain +2/+2.;4;4;After you play a minion with Attack equal to its Health, gain +4/+4.;Xyrella;BG20_HERO_101_Buddy;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG20_HERO_101_Buddy.png;;
