Name;Name Short;Type;Type2;Pool;Pool2;Tier;Attack;Health;Text;Attack Golden;Health Golden;Text Golden;Token;Battlecry;Deathrattle;Taunt;Divine Shield;Windfury;Venomous;Reborn;Avenge;Magnetic;Spellcraft;Blizzard ID;Summon ID;Picture Link;Artist;Flavor;Active;Duos only
Alleycat;Cat;Beast;;Beast;;1;1;1;Battlecry: Summon a 1/1 Cat.;2;2;Battlecry: Summon a 2/2 Cat.;;1;;;;;;;;;;CFM_315;CFM_315t;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/CFM_315.png;Anton Zemskov;To be a cool cat in Gadgetzan, you gotta have bling.;;
Annoy-o-Tron;Tron;Mech;;Mech;;1;1;2;Taunt Divine Shield;2;4;Taunt Divine Shield;;;;1;1;;;;;;;BG_GVG_085;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_GVG_085.png;Matt Dixon;The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool, Tinkertown, and was eventually exiled from the Eastern Kingdoms altogether.;1;
Backstage Security;Security;Demon;;Demon;;1;4;4;Battlecry: Deal 1 damage to your hero.;8;8;Battlecry: Deal 1 damage to your hero twice.;;1;;;;;;;;;;BG26_528;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG26_528.png;Jaemin Kim;;;
Beleaguered Battler;Battler;;;All;;1;4;5;At the start of your turn, lose 1 Attack.;8;10;At the start of your turn, lose 1 Attack.;;;;;;;;;;;;BG28_402;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_402.png;;;;
Bubble Gunner;Gunner;Murloc;;Murloc;;1;2;3;Battlecry: Gain a random Bonus Keyword.;4;6;Battlecry: Gain 2 random Bonus Keywords.;;1;;;;;;;;;;BG31_149;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_149.png;;;1;
Bubblette;Bubble;Elemental;;Elemental;;1;5;4;After this minion takes exactly one damage, destroy it. (Pop!);10;8;After this minion takes exactly two damage, destroy it. (Pop!);;;;;;;;;;;;BG_TID_713;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG_TID_713.png;;;;
Buzzing Vermin;Vermin;Beast;;Beast;;1;1;1;Taunt Deathrattle: Summon a 2/2 Beetle.;2;2;Taunt Deathrattle: Summon two 2/2 Beetles.;;;1;1;;;;;;;;BG31_803;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG31_803.png;;;1;
Cord Puller;Puller;Mech;;Mech;;1;1;1;Divine Shield. Deathrattle: Summon a 1/1 Microbot.;2;2;Divine Shield. Deathrattle: Summon a 1/1 Microbot.;;;1;;1;;;;;;;BG29_611;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG29_611.png;;;;
Deck Swabbie;Swabbie;Pirate;;Pirate;;1;2;2;Battlecry: Reduce the cost of upgrading Bob's Tavern by (1).;4;4;Battlecry: Reduce the cost of upgrading Bob's Tavern by (2).;;1;;;;;;;;;;BGS_055;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BGS_055.png;;;;
Deep-Sea Angler;Angler;Naga;;Naga;;1;2;2;Spellcraft: Give a minion +2 Health and Taunt until next turn.;4;4;Spellcraft: Give a minion +4 Health and Taunt until next turn.;;;;;;;;;;;1;BG23_004;;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG23_004.png;;;1;
