Name;Text;Blizzard ID;Picture link;Active
Alter Ego;Even Tier minions in Bob's Tavern have +7/+7. (Swaps to Odd next turn!);BG24_Reward_321;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_321.png;
Anima Bribe;After you sell a minion, give its stats to a minion in Bob's Tavern.;BG24_Reward_305;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_305.png;
Another Hidden Body;Discover a minion of your Tavern Tier. (Can be earned endlessly!);BG24_Reward_311;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_311.png;
Beyond the Mirage;Tavern spells cost (1) less.;BG28_Reward_500;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_500.png;
Blood Goblet;At the end of your turn, give your right-most minion Attack equal to your missing Health.;BG24_Reward_708;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_708.png;
Bloodsoaked Tome;Minions in Bob's Tavern cost 2 Gold.;BG27_Reward_811;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_811.png;
Boom Squad;Avenge (3): Deal 10 damage to the highest Health enemy minion.;BG27_Reward_502;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_502.png;
Cooked Book;After you buy a minion, give it +1/+1 and upgrade this.;BG24_Reward_306;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_306.png;
Cycle of Energy;Avenge (4): Get a random Tavern spell.;BG28_Reward_504;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Reward_504.png;
Devils in the Details;At the end of your turn, your left and right-most minions consume a minion in Bob's Tavern.;BG24_Reward_309;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Reward_309.png;
Divine Armor;At the end of your turn, give the left-most minion in your hand +8/+8 and Divine Shield.;BG27_Reward_809;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_809.png;
Doppelganger's Locket;After each combat, Discover a non-Golden minion from your last opponent's warband. It keeps enchantments.;BG27_Reward_806;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Reward_806.png;
